0xcf 0x0 0xffff => 0xce31 0xcf2f
0xfa 0x1880 0x97ff => 0x948a 0x9507
0xed 0xa00 0x87ff => 0x7dc8 0x7e44
0xfe 0x4800 0xc4ff => 0xc38e 0xc408
0x07 0xe00 0x88ff => 0x114c 0x11c4
0x00 0x4c00 0xc4ff => 0x4c00 0x4c75
0x00 0x0 0xebff => 0x0 0x1ca
0x01 0x0 0xe57f => 0x29b 0x379
0x03 0x1b00 0xf9ff => 0x200c 0x20e2
0x00 0xc00 0xe2ff => 0xc00 0xe6b
0x00 0x0 0x9aff => 0x0 0x251
0x80 0x0 0x947f => 0x4acd 0x4b5a
0x02 0x4d00 0xdaff => 0x50b1 0x5138
0x00 0x3100 0xb8ff => 0x3100 0x3383
0x00 0x4000 0xe0ff => 0x4000 0x438f
0x00 0x0 0xe3ff => 0x0 0x5dd
0x10 0x0 0xbbbf => 0x1291 0x1340
0x00 0x1100 0xc0ff => 0x1100 0x1622
0x00 0x2000 0xc45f => 0x2000 0x2560
0x00 0x0 0xac1f => 0x0 0x63b
0xe0 0x0 0xc77f => 0xad92 0xae49
0x05 0x1200 0xc9ff => 0x1de9 0x1e92
0x00 0x7480 0xc97f => 0x7480 0x77d8
0x00 0x2000 0xf63f => 0x2000 0x292d
0x85 0x0 0x92df => 0x4f72 0x4ff7
0x80 0x7200 0xf7ff => 0xb760 0xb852
0x21(!) 0x3000 0xa97f => 0x45e5 0x4652
0x00 0x6500 0xd2ff => 0x6500 0x6a08
0x00 0x2000 0xc11f => 0x2000 0x27e9
0x00 0x0 0xfd3f => 0x0 0xd47
0x00 0x0 0xd47f => 0x0 0xbd7
0x00 0x0 0xbd7f => 0x0 0xb2e
0x19 0x0 0xb2ef => 0x1db8 0x1e55
0x00 0x3800 0xd5ff => 0x3800 0x41cd
0x00 0x0 0x9cdf => 0x0 0xa3d
0x00 0x0 0xa3df => 0x0 0xb38
0x48(H) 0x0 0xb38f => 0x3d48 0x3de4
0x00 0x4800 0xe4ff => 0x4800 0x5335
0x00 0x0 0xb35f => 0x0 0xd5f
0x00 0x0 0xd5ff => 0x0 0x109f
0x5f(_) 0x0 0x84ff => 0x38df 0x3950
0x5f(_) 0x5f00 0xd0ff => 0x8f95 0x9058
0x50(P) 0x1500 0xd8ff => 0x5e6b 0x5f11
0x41(A) 0x3580 0x88ff => 0x5038 0x507e
0x47(G) 0x7000 0xfdff => 0xa097 0xa10f
0x45(E) 0x1700 0x8fff => 0x3f77 0x3fdd
0x5a(Z) 0x7700 0xddff => 0xa1d4 0xa22a
0x45(E) 0x2800 0xd5ff => 0x61cf 0x62f3
0x52(R) 0x6780 0xf9ff => 0xa0a8 0xa122
0x4f(O) 0x2800 0xa2ff => 0x5639 0x569f
0x00 0x3900 0x9fff => 0x3900 0x410c
0x00 0x1000 0x90cf => 0x1000 0x1a73
0x00 0x0 0xa73f => 0x0 0xe11
